F_fuel,F_steam,O2,CO,NO,NO2,NOx,CO2,SO2,P_steam,t_wg
0.5,0.2,,500.0,,,,,,,
0.6,0.2,7.79,26.400000000000002,36.5,6.3,42.8,10.53,94.0,1.6,23.7
0.7,0.2,5.51,14.9,55.7,3.4,59.1,12.28,111.0,1.6,24.2
0.8,0.2,2.11,8.55,85.6,1.6,87.19999999999999,14.87,140.0,1.45,25.1
0.9,0.2,0.82,43.2,89.2,1.3,90.5,15.82,157.0,1.52,25.3
0.95,0.2,,500.0,,,,,,,
0.65,0.4,,500.0,,,,,,,
0.7,0.4,8.03,32.05,31.6,4.9,36.5,10.33,95.0,2.9,24.8
0.8,0.4,5.66,49.3,40.9,6.3,47.199999999999996,12.11,110.0,2.9,26.2
1.0,0.4,1.9,18.25,66.8,0.7,67.5,14.98,143.0,2.9,28.7
1.1,0.4,0.44,230.1,70.8,0.4,71.2,16.07,163.0,2.9,27.8
1.2,0.4,,500.0,,,,,,,
0.75,0.6,,500.0,,,,,,,
0.8,0.6,9.03,194.05,14.8,6.6,21.4,9.35,84.0,4.4,26.8
0.9,0.6,6.91,40.1,32.0,5.6,37.6,11.17,108.0,4.5,26.5
1.0,0.6,4.48,12.5,47.9,3.9,51.8,13.0,125.0,4.5,27.0
1.1,0.6,3.3,13.3,55.9,2.3,58.199999999999996,13.99,141.0,4.5,27.7
1.2,0.6,1.02,5.35,67.2,1.4,68.60000000000001,15.69,160.0,4.5,28.0
1.25,0.6,0.65,46.8,67.6,1.6,69.19999999999999,16.03,167.0,4.5,28.0
1.35,0.6,,500.0,,,,,,,
1.1,0.8,5.41,255.9,38.5,2.0,40.5,12.17,118.0,6.5,28.1
1.0,0.8,6.94,135.45,28.1,2.9,31.0,11.0,105.0,6.4,27.6
1.2,0.8,3.6,6.699999999999999,50.1,2.0,52.1,13.57,133.0,6.4,28.7
1.4,0.8,0.48,91.5,62.9,1.1,64.0,16.08,171.0,6.4,29.4
1.3,0.8,2.27,6.8,56.2,1.3,57.5,14.63,147.0,6.4,29.0
1.15,1.0,,500.0,,,,,,,
1.2,1.0,5.45,129.4,33.2,1.9,35.1,12.16,119.0,8.4,28.4
1.3,1.0,3.75,6.6,43.1,1.7,44.800000000000004,13.58,133.0,8.4,28.8
1.4,1.0,1.99,26.9,53.0,1.6,54.6,14.99,153.0,8.4,29.1
1.5,1.0,0.81,22.1,54.4,1.5,55.9,15.8,168.0,8.4,29.7
1.5,1.1,1.88,14.7,47.4,1.1,48.5,14.99,156.0,9.4,29.7
1.2,1.2,,500.0,,,,,,,
1.4,1.2,3.83,127.65,37.2,1.6,38.800000000000004,13.53,135.0,10.2,28.9
1.5,1.2,2.26,4.7,43.6,1.5,45.1,14.71,149.0,10.2,29.5
1.6,1.2,0.9,20.9,48.6,1.6,50.2,15.9,170.0,10.2,29.9
1.7,1.2,,500.0,,,,,,,
1.8,1.2,,500.0,,,,,,,
1.65,1.3,1.09,20.5,44.2,1.5,45.7,15.69,165.0,11.1,30.1
1.55,1.4,,500.0,,,,,,,
1.6,1.4,2.7,127.5,36.3,1.4,37.699999999999996,14.43,149.0,11.9,29.8
1.65,1.4,1.8,6.1,40.3,1.2,41.5,15.14,158.0,11.7,30.2
1.7,1.4,0.97,33.2,42.4,1.4,43.8,15.76,167.0,11.7,30.5
1.8,1.4,,500.0,,,,,,,
1.1,0.2,,500.0,,,,,,,
1.4,0.6,,500.0,,,,,,,
1.5,0.8,,500.0,,,,,,,
1.6,1.0,,500.0,,,,,,,
1.65,1.1,,500.0,,,,,,,
0.6,0.4,,500.0,,,,,,,
0.7,0.6,,500.0,,,,,,,
0.8,0.8,,500.0,,,,,,,
1.0,1.0,,500.0,,,,,,,
1.1,1.1,,500.0,,,,,,,
1.4,1.3,,500.0,,,,,,,
1.5,1.4,,500.0,,,,,,,
